1/1/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-25.40
1/3/2024,"DOORDASHTHEBIRYANIW      DOWNTOWN TOROON  (APPLE PAY) ",-16.75
1/4/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-20.85
1/6/2024,"NADIA'S NF #7138         SCARBOROUGH  ON  (APPLE PAY) ",-6.77
1/6/2024,"          FROM - *****01*1525 ",81.39
1/7/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-25.40
1/8/2024,"APPLE.COM/BILL           866-712-7753 ON ",-1.46
1/9/2024,"PRESTO FARE/5DCH68WGST   TORONTO      ON  (APPLE PAY) ",-3.30
1/9/2024,"          FROM - *****01*1525 ",33.58
1/10/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
1/15/2024,"GIANT TIGER #159         SCARBOROUGH  ON  (APPLE PAY) ",-13.02
1/15/2024,"ALBAAQI SUPERMARKET      SCARBOROUGH  ON  (APPLE PAY) ",-9.66
1/16/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
1/17/2024,"APPLE.COM/BILL           866-712-7753 ON ",-4.51
1/17/2024," APPLE.COM/BILL           866-712-7753 ON ",1.04
1/18/2024,"APPLE.COM/BILL           866-712-7753 ON ",-3.38
1/18/2024,"TIM HORTONS #1809        SCARBOROUGH  ON  (APPLE PAY) ",-2.17
1/19/2024,"STAPLES STORE #32        SCARBOROUGH  ON  (APPLE PAY) ",-0.63
1/20/2024,"          FROM - *****01*1525 ",88.69
1/23/2024,"TIM HORTONS #1809        SCARBOROUGH  ON  (APPLE PAY) ",-1.74
1/23/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
1/24/2024,"FREEDOM MOBILE           877-946-3184 ON ",-120.58
1/24/2024,"TIM HORTONS #1809        SCARBOROUGH  ON  (APPLE PAY) ",-2.17
1/24/2024,"GIANT TIGER #159         SCARBOROUGH  ON  (APPLE PAY) ",-34.61
1/24/2024,"DOLLARAMA # 759          TORONTO      ON  (APPLE PAY) ",-1.98
1/26/2024,"ESSO CIRCLE K            SCARBOROUGH  ON  (APPLE PAY) ",-2.25
1/28/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-21.83
1/29/2024,"GIANT TIGER #159         SCARBOROUGH  ON  (APPLE PAY) ",-15.21
1/29/2024,"CSRA US*EMBASSY MRV      703-889-2611 QC AMT           185.00 ",-255.73
1/29/2024,"          FROM - *****01*1525 ",4.99
1/29/2024,"          FROM - *****01*1525 ",462.43
1/31/2024,"TIM HORTONS #1809        SCARBOROUGH  ON  (APPLE PAY) ",-6.78
2/1/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
2/5/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-2.81
2/7/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
2/13/2024,"TIM HORTONS #1809        SCARBOROUGH  ON  (APPLE PAY) ",-5.64
2/14/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
2/14/2024,"IMMIGRATION CANADA ONLINEOTTAWA       ON ",-100.00
2/17/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-4.51
2/17/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
2/19/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-3.38
2/20/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-21.73
2/23/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-28.53
2/24/2024,"FREEDOM MOBILE           877-946-3184 ON ",-51.82
