8/26/2024,-75.69,-,"Customer Transfer Dr.  ","PC TO 4537353199794022"
8/26/2024,-8.99,-,"POS Purchase           ","OPOS AFFIRM CANADA       +1415"
8/26/2024,-59.41,-,"POS Purchase           ","OPOS AFFIRM CANADA       +1415"
8/23/2024,-4.21,-,"POS Purchase           ","APOS CORVETTE SMOKE      SCARB"
8/19/2024,-271.92,-,"Customer Transfer Dr.  ","PC TO 4537353199794022"
8/16/2024,-10.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
8/15/2024,-83.88,-,"POS Purchase           ","OPOS AFFIRM CANADA       +1415"
8/13/2024,-9.77,-,"POS Purchase           ","APOS CORVETTE SMOKE         SC"
8/9/2024,-30.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
8/9/2024,70.83,-,"Provincial Payment     ","CANADA                       "
8/2/2024,-1.00,-,"POS Purchase           ","OPOS Amazon Web Services www.a"
8/2/2024,-6.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
8/1/2024,-4.84,-,"POS Purchase           ","OPOS GOOGLE *CLOUD 5LBNLXg.co/"
7/30/2024,-12.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
7/29/2024,-5.50,-,"POS Purchase           ","APOS CORVETTE SMOKE         SC"
7/26/2024,-2.00,-,"Service Charge         ",""
7/26/2024,-613.50,-,"ABM Withdrawal",""
7/25/2024,-8.99,-,"POS Purchase           ","OPOS AFFIRM CANADA       +1415"
7/25/2024,-59.41,-,"POS Purchase           ","OPOS AFFIRM CANADA       +1415"
7/22/2024,-211.99,-,"POS Purchase           ","OPOS REMITLY* Q64DD      VANCO"
7/16/2024,-2.10,-,"POS Purchase           ","APOS NEW KALYANI TAK     SCARB"
7/16/2024,-190.74,-,"Customer Transfer Dr.  ","MB-CREDIT CARD/LOC PAY."
7/16/2024,500.00,-,"DEPOSIT                ","FREE INTERAC E-TRANSFER"
7/15/2024,-10.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
7/15/2024,140.00,-,"Canada Carbon Rebate","CANADA                       "
7/10/2024,-15.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
7/10/2024,70.83,-,"Provincial Payment     ","CANADA                       "
7/9/2024,-4.08,-,"POS Purchase           ","OPOS Taptap Send PaymentsVanco"
7/6/2024,-10.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
7/5/2024,106.20,-,"GST                    ","CANADA                       "
7/4/2024,-10.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
7/2/2024,-1.00,-,"POS Purchase           ","OPOS Amazon Web Services www.a"
7/2/2024,-4.20,-,"POS Purchase           ","APOS CORVETTE SMOKE         SC"
7/2/2024,-0.00,-,"Service Charge         ",""
7/2/2024,-603.50,-,"ABM Withdrawal",""
7/2/2024,-1.24,-,"POS Purchase           ","OPOS GOOGLE *CLOUD HS7v84g.co/"
6/29/2024,-176.79,-,"Customer Transfer Dr.  ","MB-CREDIT CARD/LOC PAY."
6/25/2024,-8.99,-,"POS Purchase           ","OPOS AFFIRM CANADA       +1415"
6/25/2024,-59.41,-,"POS Purchase           ","OPOS AFFIRM CANADA       +1415"
6/24/2024,-5.15,-,"POS Purchase           ","APOS CORVETTE SMOKE         SC"
6/17/2024,-7.35,-,"POS Purchase           ","APOS NEW KALYANI TAK     SCARB"
6/17/2024,-3.30,-,"POS Purchase           ","APOS PRES/55GN807TFQ          "
6/14/2024,140.00,-,"Canada Carbon Rebate","CANADA                       "
6/10/2024,61.37,-,"Provincial Payment     ","CANADA                       "
6/6/2024,-20.85,-,"POS Purchase           ","APOS GIANT TIGER #15     SCARB"
6/4/2024,90.00,-,"DEPOSIT                ","FREE INTERAC E-TRANSFER"
